lat,lon,current_speed,free_flow_speed,congestion_factor
44.34,25.994999999999994,125.0,125.0,0.0
44.34,25.999999999999993,125.0,125.0,0.0
44.34,26.004999999999992,125.0,125.0,0.0
44.34,26.00999999999999,125.0,125.0,0.0
44.34,26.01499999999999,125.0,125.0,0.0
44.34,26.01999999999999,125.0,125.0,0.0
44.34,26.024999999999988,125.0,125.0,0.0
44.34,26.029999999999987,60.0,60.0,0.0
44.34,26.034999999999986,71.0,71.0,0.0
44.34,26.039999999999985,60.0,60.0,0.0
44.34,26.044999999999984,58.0,58.0,0.0
44.34,26.049999999999983,44.0,55.0,0.19999999999999996
44.34,26.054999999999982,56.0,56.0,0.0
44.34,26.05999999999998,56.0,56.0,0.0
44.34,26.06499999999998,56.0,56.0,0.0
44.34,26.06999999999998,56.0,56.0,0.0
44.34,26.074999999999978,68.0,68.0,0.0
44.34,26.079999999999977,68.0,68.0,0.0
44.34,26.084999999999976,74.0,74.0,0.0
44.34,26.089999999999975,73.0,73.0,0.0
44.34,26.094999999999974,73.0,73.0,0.0
44.34,26.099999999999973,73.0,73.0,0.0
44.34,26.104999999999972,73.0,73.0,0.0
44.34,26.10999999999997,73.0,73.0,0.0
44.34,26.11499999999997,73.0,73.0,0.0
44.34,26.11999999999997,73.0,73.0,0.0
44.34,26.124999999999968,73.0,73.0,0.0
44.34,26.129999999999967,73.0,73.0,0.0
44.34,26.134999999999966,73.0,73.0,0.0
44.34,26.139999999999965,73.0,73.0,0.0
44.34,26.144999999999964,73.0,73.0,0.0
44.34,26.149999999999963,73.0,73.0,0.0
44.34,26.154999999999962,73.0,73.0,0.0
44.34,26.15999999999996,74.0,74.0,0.0
44.34,26.16499999999996,42.0,42.0,0.0
44.34,26.16999999999996,42.0,42.0,0.0
44.34,26.174999999999958,126.0,126.0,0.0
44.34,26.179999999999957,125.0,125.0,0.0
44.34,26.184999999999956,125.0,125.0,0.0
44.34,26.189999999999955,125.0,125.0,0.0
44.34,26.194999999999954,125.0,125.0,0.0
44.34,26.199999999999953,125.0,125.0,0.0
44.34,26.204999999999952,125.0,125.0,0.0
44.34,26.20999999999995,125.0,125.0,0.0
44.34,26.21499999999995,125.0,125.0,0.0
44.34,26.21999999999995,78.0,78.0,0.0
44.34,26.224999999999948,78.0,78.0,0.0
44.345000000000006,25.96,61.0,61.0,0.0
44.345000000000006,25.965,65.0,65.0,0.0
44.345000000000006,25.97,125.0,125.0,0.0
44.345000000000006,25.974999999999998,125.0,125.0,0.0
44.345000000000006,25.979999999999997,125.0,125.0,0.0
44.345000000000006,25.984999999999996,125.0,125.0,0.0
44.345000000000006,25.989999999999995,125.0,125.0,0.0
44.345000000000006,25.994999999999994,125.0,125.0,0.0
44.345000000000006,25.999999999999993,125.0,125.0,0.0
44.345000000000006,26.004999999999992,125.0,125.0,0.0
44.345000000000006,26.00999999999999,125.0,125.0,0.0
44.345000000000006,26.01499999999999,52.0,52.0,0.0
44.345000000000006,26.01999999999999,52.0,52.0,0.0
44.345000000000006,26.024999999999988,52.0,52.0,0.0
44.345000000000006,26.029999999999987,51.0,51.0,0.0
44.345000000000006,26.034999999999986,44.0,55.0,0.19999999999999996
44.345000000000006,26.039999999999985,56.0,56.0,0.0
44.345000000000006,26.044999999999984,56.0,56.0,0.0
44.345000000000006,26.049999999999983,56.0,56.0,0.0
44.345000000000006,26.054999999999982,56.0,56.0,0.0
44.345000000000006,26.05999999999998,71.0,71.0,0.0
44.345000000000006,26.06499999999998,71.0,71.0,0.0
44.345000000000006,26.06999999999998,71.0,71.0,0.0
44.345000000000006,26.074999999999978,71.0,71.0,0.0
44.345000000000006,26.079999999999977,72.0,72.0,0.0
44.345000000000006,26.084999999999976,59.0,59.0,0.0
44.345000000000006,26.089999999999975,73.0,73.0,0.0
44.345000000000006,26.094999999999974,73.0,73.0,0.0
44.345000000000006,26.099999999999973,73.0,73.0,0.0
44.345000000000006,26.104999999999972,73.0,73.0,0.0
44.345000000000006,26.10999999999997,73.0,73.0,0.0
44.345000000000006,26.11499999999997,73.0,73.0,0.0
44.345000000000006,26.11999999999997,73.0,73.0,0.0
44.345000000000006,26.124999999999968,73.0,73.0,0.0
44.345000000000006,26.129999999999967,73.0,73.0,0.0
44.345000000000006,26.134999999999966,73.0,73.0,0.0
44.345000000000006,26.139999999999965,73.0,73.0,0.0
44.345000000000006,26.144999999999964,60.0,60.0,0.0
44.345000000000006,26.149999999999963,73.0,73.0,0.0
44.345000000000006,26.154999999999962,60.0,60.0,0.0
44.345000000000006,26.15999999999996,60.0,60.0,0.0
44.345000000000006,26.16499999999996,53.0,53.0,0.0
44.345000000000006,26.16999999999996,101.0,101.0,0.0
44.345000000000006,26.174999999999958,74.0,96.0,0.22916666666666663
44.345000000000006,26.179999999999957,74.0,96.0,0.22916666666666663
44.345000000000006,26.184999999999956,126.0,126.0,0.0
44.345000000000006,26.189999999999955,126.0,126.0,0.0
44.345000000000006,26.194999999999954,126.0,126.0,0.0
44.345000000000006,26.199999999999953,126.0,126.0,0.0
44.345000000000006,26.204999999999952,126.0,126.0,0.0
44.345000000000006,26.20999999999995,126.0,126.0,0.0
44.345000000000006,26.21499999999995,125.0,125.0,0.0
44.345000000000006,26.21999999999995,78.0,78.0,0.0
44.345000000000006,26.224999999999948,56.0,56.0,0.0
44.35000000000001,25.96,61.0,61.0,0.0
44.35000000000001,25.965,62.0,62.0,0.0
44.35000000000001,25.97,125.0,125.0,0.0
44.35000000000001,25.974999999999998,125.0,125.0,0.0
44.35000000000001,25.979999999999997,125.0,125.0,0.0
44.35000000000001,25.984999999999996,125.0,125.0,0.0
44.35000000000001,25.989999999999995,52.0,52.0,0.0
44.35000000000001,25.994999999999994,52.0,52.0,0.0
44.35000000000001,25.999999999999993,52.0,52.0,0.0
44.35000000000001,26.004999999999992,52.0,52.0,0.0
44.35000000000001,26.00999999999999,52.0,52.0,0.0
44.35000000000001,26.01499999999999,52.0,52.0,0.0
44.35000000000001,26.01999999999999,52.0,52.0,0.0
44.35000000000001,26.024999999999988,51.0,51.0,0.0
44.35000000000001,26.029999999999987,69.0,69.0,0.0
44.35000000000001,26.034999999999986,37.0,37.0,0.0
44.35000000000001,26.039999999999985,56.0,56.0,0.0
44.35000000000001,26.044999999999984,71.0,71.0,0.0
44.35000000000001,26.049999999999983,71.0,71.0,0.0
44.35000000000001,26.054999999999982,71.0,71.0,0.0
44.35000000000001,26.05999999999998,71.0,71.0,0.0
44.35000000000001,26.06499999999998,72.0,72.0,0.0
44.35000000000001,26.06999999999998,72.0,72.0,0.0
44.35000000000001,26.074999999999978,72.0,72.0,0.0
44.35000000000001,26.079999999999977,58.0,58.0,0.0
44.35000000000001,26.084999999999976,59.0,59.0,0.0
44.35000000000001,26.089999999999975,59.0,59.0,0.0
44.35000000000001,26.094999999999974,59.0,59.0,0.0
44.35000000000001,26.099999999999973,59.0,59.0,0.0
44.35000000000001,26.104999999999972,73.0,73.0,0.0
44.35000000000001,26.10999999999997,73.0,73.0,0.0
44.35000000000001,26.11499999999997,73.0,73.0,0.0
44.35000000000001,26.11999999999997,73.0,73.0,0.0
44.35000000000001,26.124999999999968,73.0,73.0,0.0
44.35000000000001,26.129999999999967,73.0,73.0,0.0
44.35000000000001,26.134999999999966,73.0,73.0,0.0
44.35000000000001,26.139999999999965,60.0,60.0,0.0
44.35000000000001,26.144999999999964,60.0,60.0,0.0
44.35000000000001,26.149999999999963,60.0,60.0,0.0
44.35000000000001,26.154999999999962,60.0,60.0,0.0
44.35000000000001,26.15999999999996,58.0,58.0,0.0
44.35000000000001,26.16499999999996,58.0,58.0,0.0
44.35000000000001,26.16999999999996,101.0,101.0,0.0
44.35000000000001,26.174999999999958,101.0,101.0,0.0
44.35000000000001,26.179999999999957,101.0,101.0,0.0
44.35000000000001,26.184999999999956,73.0,95.0,0.2315789473684211
44.35000000000001,26.189999999999955,73.0,95.0,0.2315789473684211
44.35000000000001,26.194999999999954,73.0,95.0,0.2315789473684211
44.35000000000001,26.199999999999953,126.0,126.0,0.0
44.35000000000001,26.204999999999952,77.0,77.0,0.0
44.35000000000001,26.20999999999995,77.0,77.0,0.0
44.35000000000001,26.21499999999995,77.0,77.0,0.0
44.35000000000001,26.21999999999995,75.0,75.0,0.0
44.35000000000001,26.224999999999948,75.0,75.0,0.0
44.35500000000001,25.96,52.0,52.0,0.0
44.35500000000001,25.965,67.0,67.0,0.0
44.35500000000001,25.97,129.0,129.0,0.0
44.35500000000001,25.974999999999998,125.0,125.0,0.0
44.35500000000001,25.979999999999997,52.0,52.0,0.0
44.35500000000001,25.984999999999996,52.0,52.0,0.0
44.35500000000001,25.989999999999995,52.0,52.0,0.0
44.35500000000001,25.994999999999994,51.0,51.0,0.0
44.35500000000001,25.999999999999993,51.0,51.0,0.0
44.35500000000001,26.004999999999992,51.0,51.0,0.0
44.35500000000001,26.00999999999999,51.0,51.0,0.0
44.35500000000001,26.01499999999999,51.0,51.0,0.0
44.35500000000001,26.01999999999999,51.0,51.0,0.0
44.35500000000001,26.024999999999988,51.0,51.0,0.0
44.35500000000001,26.029999999999987,69.0,69.0,0.0
